      left      right     bottom        top 
1.00000000 1.00000000 1.00000000 1.00000000 

-5.6695E-3 3.07552E-2 5.05647E-3 1.74634E-2 
-5.6561E-3 3.07656E-2 5.08254E-3 1.74980E-2 
-5.6418E-3 3.07769E-2 5.10943E-3 1.75334E-2 
-5.6268E-3 3.07889E-2 5.13703E-3 1.75695E-2 
-5.6109E-3 3.08018E-2 5.16557E-3 1.76064E-2 
-5.5947E-3 3.08149E-2 5.19436E-3 1.76434E-2 
-5.5783E-3 3.08282E-2 5.22335E-3 1.76806E-2 
-5.5615E-3 3.08419E-2 5.25269E-3 1.77181E-2 
-5.5439E-3 3.08564E-2 5.28282E-3 1.77563E-2 
-5.5259E-3 3.08713E-2 5.31343E-3 1.77949E-2 
-5.5073E-3 3.08867E-2 5.34451E-3 1.78339E-2 
-5.4884E-3 3.09025E-2 5.37593E-3 1.78732E-2 
-5.4689E-3 3.09188E-2 5.40795E-3 1.79131E-2 
-5.4490E-3 3.09356E-2 5.44039E-3 1.79532E-2 
-5.4284E-3 3.09530E-2 5.47353E-3 1.79941E-2 
-5.4073E-3 3.09709E-2 5.50715E-3 1.80353E-2 
-5.3856E-3 3.09894E-2 5.54131E-3 1.80770E-2 
-5.3637E-3 3.10081E-2 5.57572E-3 1.81189E-2 
-5.3413E-3 3.10273E-2 5.61069E-3 1.81614E-2 
-5.3181E-3 3.10472E-2 5.64631E-3 1.82044E-2 
-5.2944E-3 3.10677E-2 5.68251E-3 1.82479E-2 
-5.2699E-3 3.10890E-2 5.71953E-3 1.82922E-2 
-5.2450E-3 3.11107E-2 5.75693E-3 1.83369E-2 
-5.2194E-3 3.11330E-2 5.79498E-3 1.83821E-2 
-5.1937E-3 3.11554E-2 5.83315E-3 1.84274E-2 
-5.1675E-3 3.11783E-2 5.87178E-3 1.84731E-2 
-5.1413E-3 3.12014E-2 5.91054E-3 1.85189E-2 
-5.1144E-3 3.12249E-2 5.94982E-3 1.85652E-2 
-5.0871E-3 3.12490E-2 5.98966E-3 1.86120E-2 
-5.0590E-3 3.12738E-2 6.03016E-3 1.86594E-2 
-5.0305E-3 3.12991E-2 6.07116E-3 1.87072E-2 
-5.0016E-3 3.13248E-2 6.11256E-3 1.87555E-2 
-4.9723E-3 3.13508E-2 6.15428E-3 1.88040E-2 
-4.9426E-3 3.13773E-2 6.19646E-3 1.88529E-2 
-4.9121E-3 3.14044E-2 6.23934E-3 1.89024E-2 
-4.8816E-3 3.14318E-2 6.28236E-3 1.89521E-2 
-4.8505E-3 3.14596E-2 6.32593E-3 1.90023E-2 
-4.8188E-3 3.14880E-2 6.37000E-3 1.90529E-2 
-4.7866E-3 3.15170E-2 6.41463E-3 1.91041E-2 
-4.7541E-3 3.15463E-2 6.45963E-3 1.91556E-2 
-4.7211E-3 3.15761E-2 6.50510E-3 1.92076E-2 
-4.6876E-3 3.16063E-2 6.55098E-3 1.92599E-2 
-4.6538E-3 3.16369E-2 6.59723E-3 1.93125E-2 
-4.6197E-3 3.16679E-2 6.64384E-3 1.93655E-2 
-4.5854E-3 3.16990E-2 6.69059E-3 1.94186E-2 
-4.5507E-3 3.17305E-2 6.73773E-3 1.94720E-2 
-4.5158E-3 3.17622E-2 6.78507E-3 1.95256E-2 
-4.4806E-3 3.17943E-2 6.83277E-3 1.95795E-2 
-4.4450E-3 3.18268E-2 6.88080E-3 1.96337E-2 
-4.4092E-3 3.18595E-2 6.92906E-3 1.96882E-2 
-4.3730E-3 3.18925E-2 6.97768E-3 1.97429E-2 
-4.3366E-3 3.19259E-2 7.02661E-3 1.97980E-2 
-4.2998E-3 3.19595E-2 7.07584E-3 1.98533E-2 
-4.2626E-3 3.19936E-2 7.12548E-3 1.99090E-2 
-4.2253E-3 3.20279E-2 7.17532E-3 1.99648E-2 
-4.1877E-3 3.20625E-2 7.22538E-3 2.00209E-2 
-4.1498E-3 3.20974E-2 7.27575E-3 2.00772E-2 
-4.1116E-3 3.21326E-2 7.32647E-3 2.01338E-2 
-4.0731E-3 3.21681E-2 7.37750E-3 2.01908E-2 
-4.0344E-3 3.22039E-2 7.42874E-3 2.02479E-2 
-3.9955E-3 3.22399E-2 7.48020E-3 2.03052E-2 
-3.9564E-3 3.22760E-2 7.53176E-3 2.03626E-2 
-3.9171E-3 3.23125E-2 7.58366E-3 2.04203E-2 
-3.8775E-3 3.23492E-2 7.63580E-3 2.04782E-2 
-3.8378E-3 3.23861E-2 7.68807E-3 2.05362E-2 
-3.7979E-3 3.24232E-2 7.74054E-3 2.05944E-2 
-3.7579E-3 3.24604E-2 7.79316E-3 2.06527E-2 
-3.7175E-3 3.24980E-2 7.84610E-3 2.07113E-2 
-3.6771E-3 3.25357E-2 7.89912E-3 2.07699E-2 
-3.6365E-3 3.25736E-2 7.95240E-3 2.08288E-2 
-3.5957E-3 3.26117E-2 8.00575E-3 2.08877E-2 
-3.5548E-3 3.26499E-2 8.05932E-3 2.09469E-2 
-3.5137E-3 3.26885E-2 8.11312E-3 2.10062E-2 
-3.4724E-3 3.27272E-2 8.16710E-3 2.10656E-2 
-3.4309E-3 3.27661E-2 8.22129E-3 2.11253E-2 
-3.3895E-3 3.28050E-2 8.27543E-3 2.11849E-2 
-3.3479E-3 3.28441E-2 8.32978E-3 2.12446E-2 
-3.3061E-3 3.28835E-2 8.38431E-3 2.13045E-2 
-3.2643E-3 3.29228E-2 8.43885E-3 2.13644E-2 
-3.2223E-3 3.29624E-2 8.49356E-3 2.14245E-2 
