      left      right     bottom        top 
1.00000000 1.00000000 1.00000000 1.00000000 

3.14795E-3 1.45610E-2 2.85810E-4 3.33551E-2 
3.15145E-3 1.45708E-2 2.87048E-4 3.33528E-2 
3.15493E-3 1.45805E-2 2.88315E-4 3.33505E-2 
3.15841E-3 1.45902E-2 2.89609E-4 3.33482E-2 
3.16189E-3 1.45998E-2 2.90931E-4 3.33459E-2 
3.16535E-3 1.46094E-2 2.92282E-4 3.33436E-2 
3.16882E-3 1.46190E-2 2.93663E-4 3.33413E-2 
3.17227E-3 1.46285E-2 2.95073E-4 3.33390E-2 
3.17573E-3 1.46379E-2 2.96513E-4 3.33367E-2 
3.17917E-3 1.46473E-2 2.97983E-4 3.33343E-2 
3.18262E-3 1.46567E-2 2.99485E-4 3.33320E-2 
3.18606E-3 1.46660E-2 3.01017E-4 3.33297E-2 
3.18950E-3 1.46753E-2 3.02581E-4 3.33274E-2 
3.19294E-3 1.46845E-2 3.04176E-4 3.33251E-2 
3.19637E-3 1.46940E-2 3.05804E-4 3.33228E-2 
3.19981E-3 1.47035E-2 3.07464E-4 3.33205E-2 
3.20324E-3 1.47129E-2 3.09156E-4 3.33182E-2 
3.20667E-3 1.47223E-2 3.10882E-4 3.33159E-2 
3.21011E-3 1.47316E-2 3.12642E-4 3.33136E-2 
3.21354E-3 1.47409E-2 3.14436E-4 3.33113E-2 
3.21698E-3 1.47502E-2 3.16264E-4 3.33090E-2 
3.22042E-3 1.47594E-2 3.18126E-4 3.33067E-2 
3.22386E-3 1.47686E-2 3.20021E-4 3.33044E-2 
3.22730E-3 1.47777E-2 3.21951E-4 3.33021E-2 
3.23075E-3 1.47868E-2 3.23914E-4 3.32997E-2 
3.23421E-3 1.47958E-2 3.25912E-4 3.32974E-2 
3.23767E-3 1.48048E-2 3.27944E-4 3.32951E-2 
3.24113E-3 1.48138E-2 3.30010E-4 3.32928E-2 
3.24461E-3 1.48227E-2 3.32111E-4 3.32905E-2 
3.24808E-3 1.48316E-2 3.34246E-4 3.32882E-2 
3.25157E-3 1.48405E-2 3.36415E-4 3.32859E-2 
3.25506E-3 1.48493E-2 3.38619E-4 3.32835E-2 
3.25856E-3 1.48580E-2 3.40858E-4 3.32812E-2 
3.26207E-3 1.48667E-2 3.43130E-4 3.32789E-2 
3.26559E-3 1.48754E-2 3.45437E-4 3.32766E-2 
3.26912E-3 1.48841E-2 3.47778E-4 3.32743E-2 
3.27266E-3 1.48927E-2 3.50153E-4 3.32719E-2 
3.27621E-3 1.49012E-2 3.52562E-4 3.32696E-2 
3.27977E-3 1.49097E-2 3.55004E-4 3.32673E-2 
3.28334E-3 1.49182E-2 3.57481E-4 3.32650E-2 
3.28692E-3 1.49266E-2 3.59991E-4 3.32626E-2 
3.29052E-3 1.49350E-2 3.62538E-4 3.32603E-2 
3.29412E-3 1.49434E-2 3.65119E-4 3.32580E-2 
3.29774E-3 1.49517E-2 3.67732E-4 3.32557E-2 
3.30138E-3 1.49600E-2 3.70377E-4 3.32533E-2 
3.30502E-3 1.49682E-2 3.73055E-4 3.32510E-2 
3.30868E-3 1.49764E-2 3.75765E-4 3.32487E-2 
3.31236E-3 1.49846E-2 3.78507E-4 3.32464E-2 
3.31605E-3 1.49927E-2 3.81280E-4 3.32440E-2 
3.31976E-3 1.50008E-2 3.84085E-4 3.32417E-2 
3.32348E-3 1.50088E-2 3.86920E-4 3.32394E-2 
3.32722E-3 1.50168E-2 3.89786E-4 3.32371E-2 
3.33098E-3 1.50248E-2 3.92682E-4 3.32347E-2 
3.33475E-3 1.50327E-2 3.95608E-4 3.32324E-2 
3.33853E-3 1.50405E-2 3.98563E-4 3.32301E-2 
3.34233E-3 1.50484E-2 4.01547E-4 3.32278E-2 
3.34615E-3 1.50562E-2 4.04559E-4 3.32255E-2 
3.34998E-3 1.50639E-2 4.07602E-4 3.32232E-2 
3.35383E-3 1.50716E-2 4.10677E-4 3.32208E-2 
3.35770E-3 1.50793E-2 4.13779E-4 3.32185E-2 
3.36158E-3 1.50869E-2 4.16909E-4 3.32162E-2 
3.36548E-3 1.50945E-2 4.20065E-4 3.32139E-2 
3.36939E-3 1.51020E-2 4.23247E-4 3.32116E-2 
3.37332E-3 1.51096E-2 4.26454E-4 3.32093E-2 
3.37727E-3 1.51170E-2 4.29687E-4 3.32070E-2 
3.38123E-3 1.51244E-2 4.32944E-4 3.32047E-2 
3.38521E-3 1.51318E-2 4.36225E-4 3.32024E-2 
3.38921E-3 1.51392E-2 4.39530E-4 3.32001E-2 
3.39322E-3 1.51465E-2 4.42858E-4 3.31978E-2 
3.39726E-3 1.51537E-2 4.46208E-4 3.31956E-2 
3.40131E-3 1.51609E-2 4.49581E-4 3.31933E-2 
3.40537E-3 1.51681E-2 4.52985E-4 3.31910E-2 
3.40945E-3 1.51752E-2 4.56410E-4 3.31887E-2 
3.41355E-3 1.51823E-2 4.59857E-4 3.31865E-2 
3.41766E-3 1.51894E-2 4.63323E-4 3.31842E-2 
3.42178E-3 1.51964E-2 4.66809E-4 3.31819E-2 
3.42592E-3 1.52034E-2 4.70314E-4 3.31797E-2 
3.43007E-3 1.52103E-2 4.73837E-4 3.31775E-2 
3.43424E-3 1.52172E-2 4.77378E-4 3.31752E-2 
3.43842E-3 1.52240E-2 4.80937E-4 3.31730E-2 
3.44261E-3 1.52308E-2 4.84513E-4 3.31707E-2 
3.44681E-3 1.52376E-2 4.88105E-4 3.31685E-2 
3.45103E-3 1.52443E-2 4.91727E-4 3.31663E-2 
3.45526E-3 1.52510E-2 4.95365E-4 3.31641E-2 
3.45951E-3 1.52576E-2 4.99019E-4 3.31619E-2 
3.46378E-3 1.52642E-2 5.02687E-4 3.31597E-2 
3.46805E-3 1.52708E-2 5.06368E-4 3.31575E-2 
3.47234E-3 1.52773E-2 5.10063E-4 3.31553E-2 
3.47663E-3 1.52838E-2 5.13771E-4 3.31531E-2 
3.48094E-3 1.52902E-2 5.17491E-4 3.31510E-2 
3.48526E-3 1.52966E-2 5.21223E-4 3.31488E-2 
3.48958E-3 1.53030E-2 5.24970E-4 3.31466E-2 
3.49392E-3 1.53093E-2 5.28744E-4 3.31445E-2 
3.49826E-3 1.53156E-2 5.32529E-4 3.31423E-2 
3.50261E-3 1.53218E-2 5.36324E-4 3.31402E-2 
3.50697E-3 1.53280E-2 5.40128E-4 3.31381E-2 
3.51133E-3 1.53341E-2 5.43941E-4 3.31359E-2 
3.51570E-3 1.53402E-2 5.47762E-4 3.31338E-2 
3.52008E-3 1.53463E-2 5.51591E-4 3.31317E-2 
3.52446E-3 1.53523E-2 5.55427E-4 3.31296E-2 
3.52887E-3 1.53583E-2 5.59272E-4 3.31275E-2 
3.53328E-3 1.53643E-2 5.63149E-4 3.31254E-2 
3.53769E-3 1.53702E-2 5.67031E-4 3.31234E-2 
3.54211E-3 1.53761E-2 5.70919E-4 3.31213E-2 
3.54653E-3 1.53819E-2 5.74812E-4 3.31192E-2 
3.55095E-3 1.53877E-2 5.78709E-4 3.31172E-2 
3.55537E-3 1.53934E-2 5.82611E-4 3.31151E-2 
3.55980E-3 1.53992E-2 5.86516E-4 3.31131E-2 
3.56422E-3 1.54048E-2 5.90425E-4 3.31111E-2 
3.56865E-3 1.54105E-2 5.94337E-4 3.31091E-2 
3.57308E-3 1.54161E-2 5.98284E-4 3.31070E-2 
3.57751E-3 1.54216E-2 6.02233E-4 3.31050E-2 
3.58193E-3 1.54271E-2 6.06183E-4 3.31030E-2 
3.58636E-3 1.54326E-2 6.10135E-4 3.31011E-2 
3.59078E-3 1.54381E-2 6.14087E-4 3.30991E-2 
3.59523E-3 1.54435E-2 6.18039E-4 3.30971E-2 
3.59967E-3 1.54488E-2 6.21991E-4 3.30952E-2 
3.60411E-3 1.54542E-2 6.25943E-4 3.30932E-2 
3.60855E-3 1.54594E-2 6.29893E-4 3.30913E-2 
3.61298E-3 1.54647E-2 6.33855E-4 3.30893E-2 
3.61741E-3 1.54699E-2 6.37841E-4 3.30874E-2 
3.62183E-3 1.54751E-2 6.41826E-4 3.30855E-2 
3.62625E-3 1.54802E-2 6.45808E-4 3.30836E-2 
3.63066E-3 1.54853E-2 6.49786E-4 3.30817E-2 
3.63507E-3 1.54904E-2 6.53762E-4 3.30798E-2 
3.63947E-3 1.54954E-2 6.57733E-4 3.30779E-2 
3.64386E-3 1.55004E-2 6.61700E-4 3.30760E-2 
3.64825E-3 1.55054E-2 6.65662E-4 3.30741E-2 
3.65262E-3 1.55103E-2 6.69619E-4 3.30722E-2 
3.65699E-3 1.55152E-2 6.73571E-4 3.30704E-2 
3.66135E-3 1.55201E-2 6.77517E-4 3.30685E-2 
3.66570E-3 1.55249E-2 6.81502E-4 3.30667E-2 
3.67006E-3 1.55297E-2 6.85481E-4 3.30649E-2 
3.67443E-3 1.55344E-2 6.89452E-4 3.30630E-2 
3.67878E-3 1.55391E-2 6.93416E-4 3.30612E-2 
3.68312E-3 1.55438E-2 6.97373E-4 3.30594E-2 
3.68745E-3 1.55485E-2 7.01321E-4 3.30576E-2 
3.69177E-3 1.55531E-2 7.05261E-4 3.30558E-2 
3.69608E-3 1.55577E-2 7.09192E-4 3.30540E-2 
3.70038E-3 1.55622E-2 7.13114E-4 3.30523E-2 
3.70466E-3 1.55667E-2 7.17026E-4 3.30505E-2 
3.70893E-3 1.55712E-2 7.20929E-4 3.30487E-2 
3.71319E-3 1.55756E-2 7.24821E-4 3.30470E-2 
3.71743E-3 1.55800E-2 7.28703E-4 3.30452E-2 
3.72166E-3 1.55845E-2 7.32574E-4 3.30435E-2 
3.72588E-3 1.55889E-2 7.36450E-4 3.30417E-2 
3.73008E-3 1.55933E-2 7.40347E-4 3.30400E-2 
3.73427E-3 1.55977E-2 7.44232E-4 3.30383E-2 
3.73844E-3 1.56021E-2 7.48106E-4 3.30366E-2 
3.74260E-3 1.56064E-2 7.51966E-4 3.30349E-2 
3.74674E-3 1.56107E-2 7.55814E-4 3.30332E-2 
3.75087E-3 1.56150E-2 7.59649E-4 3.30315E-2 
3.75498E-3 1.56192E-2 7.63470E-4 3.30298E-2 
3.75911E-3 1.56234E-2 7.67278E-4 3.30281E-2 
3.76323E-3 1.56276E-2 7.71072E-4 3.30264E-2 
3.76733E-3 1.56317E-2 7.74852E-4 3.30248E-2 
3.77141E-3 1.56358E-2 7.78617E-4 3.30231E-2 
3.77548E-3 1.56399E-2 7.82367E-4 3.30215E-2 
3.77952E-3 1.56439E-2 7.86103E-4 3.30198E-2 
3.78356E-3 1.56479E-2 7.89823E-4 3.30182E-2 
3.78757E-3 1.56519E-2 7.93527E-4 3.30166E-2 
3.79156E-3 1.56559E-2 7.97216E-4 3.30149E-2 
3.79554E-3 1.56598E-2 8.00889E-4 3.30133E-2 
3.79950E-3 1.56637E-2 8.04546E-4 3.30117E-2 
3.80344E-3 1.56675E-2 8.08186E-4 3.30101E-2 
3.80736E-3 1.56714E-2 8.11809E-4 3.30085E-2 
3.81127E-3 1.56752E-2 8.15416E-4 3.30069E-2 
3.81515E-3 1.56790E-2 8.19025E-4 3.30053E-2 
3.81901E-3 1.56827E-2 8.22644E-4 3.30038E-2 
3.82286E-3 1.56864E-2 8.26246E-4 3.30022E-2 
3.82669E-3 1.56901E-2 8.29830E-4 3.30006E-2 
3.83049E-3 1.56938E-2 8.33395E-4 3.29991E-2 
3.83428E-3 1.56974E-2 8.36943E-4 3.29975E-2 
3.83805E-3 1.57010E-2 8.40472E-4 3.29960E-2 
3.84179E-3 1.57046E-2 8.44083E-4 3.29944E-2 
3.84552E-3 1.57082E-2 8.47686E-4 3.29929E-2 
3.84923E-3 1.57117E-2 8.51269E-4 3.29914E-2 
3.85291E-3 1.57152E-2 8.54833E-4 3.29899E-2 
3.85658E-3 1.57187E-2 8.58377E-4 3.29884E-2 
3.86023E-3 1.57222E-2 8.61901E-4 3.29869E-2 
3.86385E-3 1.57256E-2 8.65404E-4 3.29854E-2 
3.86750E-3 1.57290E-2 8.68888E-4 3.29839E-2 
3.87113E-3 1.57324E-2 8.72352E-4 3.29824E-2 
3.87473E-3 1.57357E-2 8.75794E-4 3.29809E-2 
3.87832E-3 1.57390E-2 8.79217E-4 3.29795E-2 
3.88188E-3 1.57423E-2 8.82618E-4 3.29780E-2 
3.88543E-3 1.57456E-2 8.85999E-4 3.29765E-2 
3.88895E-3 1.57488E-2 8.89359E-4 3.29751E-2 
3.89245E-3 1.57521E-2 8.92697E-4 3.29736E-2 
3.89593E-3 1.57553E-2 8.96015E-4 3.29722E-2 
3.89939E-3 1.57584E-2 8.99311E-4 3.29708E-2 
3.90283E-3 1.57616E-2 9.02586E-4 3.29694E-2 
3.90624E-3 1.57647E-2 9.05839E-4 3.29680E-2 
3.90964E-3 1.57678E-2 9.09071E-4 3.29665E-2 
3.91301E-3 1.57709E-2 9.12281E-4 3.29651E-2 
3.91636E-3 1.57739E-2 9.15470E-4 3.29638E-2 
3.91969E-3 1.57770E-2 9.18636E-4 3.29624E-2 
3.92300E-3 1.57800E-2 9.21781E-4 3.29610E-2 
3.92629E-3 1.57830E-2 9.24904E-4 3.29596E-2 
3.92956E-3 1.57859E-2 9.28006E-4 3.29583E-2 
3.93280E-3 1.57889E-2 9.31085E-4 3.29569E-2 
3.93602E-3 1.57918E-2 9.34142E-4 3.29555E-2 
3.93922E-3 1.57947E-2 9.37178E-4 3.29542E-2 
3.94240E-3 1.57976E-2 9.40191E-4 3.29529E-2 
3.94556E-3 1.58004E-2 9.43182E-4 3.29515E-2 
3.94870E-3 1.58032E-2 9.46151E-4 3.29502E-2 
3.95182E-3 1.58060E-2 9.49098E-4 3.29489E-2 
3.95491E-3 1.58088E-2 9.52023E-4 3.29476E-2 
3.95798E-3 1.58116E-2 9.54949E-4 3.29463E-2 
3.96103E-3 1.58143E-2 9.57866E-4 3.29450E-2 
