  4.506524E+04  2.400000E-01  2.108080E+01
  4.091970E+04  2.450000E-01  1.918693E+01
  3.693546E+04  2.500000E-01  1.981141E+01
  3.374106E+04  2.550000E-01  2.312144E+01
  3.190598E+04  2.600000E-01  2.894592E+01
  3.185991E+04  2.650000E-01  3.680204E+01
  3.383191E+04  2.700000E-01  4.596992E+01
  3.781909E+04  2.750000E-01  5.560269E+01
  4.359013E+04  2.800000E-01  6.485314E+01
  5.072250E+04  2.850000E-01  7.299542E+01
  5.866684E+04  2.900000E-01  7.952186E+01
  6.682760E+04  2.950000E-01  8.419982E+01
  7.464639E+04  3.000000E-01  8.708097E+01
  8.167464E+04  3.050000E-01  8.846398E+01
  8.762430E+04  3.100000E-01  8.881985E+01
  9.238989E+04  3.150000E-01  8.869511E+01
  9.604007E+04  3.200000E-01  8.861139E+01
  9.878247E+04  3.250000E-01  8.897922E+01
  1.009099E+05  3.300000E-01  9.004038E+01
  1.027386E+05  3.350000E-01  9.184679E+01
  1.045504E+05  3.400000E-01  9.427678E+01
  1.065480E+05  3.450000E-01  9.708227E+01
  1.088307E+05  3.500000E-01  9.995527E+01
  1.113924E+05  3.550000E-01  1.025989E+02
  1.141404E+05  3.600000E-01  1.047892E+02
  1.169291E+05  3.650000E-01  1.064150E+02
  1.195994E+05  3.700000E-01  1.074913E+02
  1.220178E+05  3.750000E-01  1.081445E+02
  1.241039E+05  3.800000E-01  1.085751E+02
  1.258447E+05  3.850000E-01  1.090075E+02
  1.272928E+05  3.900000E-01  1.096393E+02
  1.285491E+05  3.950000E-01  1.105986E+02
  1.297373E+05  4.000000E-01  1.119210E+02
  1.309747E+05  4.050000E-01  1.135471E+02
  1.323462E+05  4.100000E-01  1.153418E+02
  1.338876E+05  4.150000E-01  1.171289E+02
  1.355802E+05  4.200000E-01  1.187321E+02
  1.373585E+05  4.250000E-01  1.200146E+02
  1.391277E+05  4.300000E-01  1.209069E+02
  1.407857E+05  4.350000E-01  1.214190E+02
  1.422471E+05  4.400000E-01  1.216338E+02
  1.434611E+05  4.450000E-01  1.216847E+02
  1.444208E+05  4.500000E-01  1.217229E+02
  1.451626E+05  4.550000E-01  1.218826E+02
  1.457558E+05  4.600000E-01  1.222513E+02
  1.462847E+05  4.650000E-01  1.228518E+02
  1.468291E+05  4.700000E-01  1.236397E+02
  1.474463E+05  4.750000E-01  1.245161E+02
  1.481581E+05  4.800000E-01  1.253519E+02
  1.489480E+05  4.850000E-01  1.260182E+02
  1.497657E+05  4.900000E-01  1.264153E+02
  1.505400E+05  4.950000E-01  1.264945E+02
  1.511953E+05  5.000000E-01  1.262673E+02
  1.516695E+05  5.050000E-01  1.258006E+02
  1.519269E+05  5.100000E-01  1.252000E+02
  1.519661E+05  5.150000E-01  1.245842E+02
  1.518184E+05  5.200000E-01  1.240582E+02
  1.515406E+05  5.250000E-01  1.236890E+02
  1.512001E+05  5.300000E-01  1.234922E+02
  1.508602E+05  5.350000E-01  1.234293E+02
  1.505650E+05  5.400000E-01  1.234186E+02
  1.503305E+05  5.450000E-01  1.233544E+02
  1.501410E+05  5.500000E-01  1.231325E+02
  1.499544E+05  5.550000E-01  1.226736E+02
  1.497119E+05  5.600000E-01  1.219412E+02
