
 ----------------------------------------------

    SimVascular Fluid-Structure Interaction
                   (svFSI)

 ----------------------------------------------

 This program comes with ABSOLUTELY NO WARRANTY
 Compiled on 06-22-2020

 Running in parallel with 12 tasks
 Number of meshes: 1
 Reading mesh <msh>
 <VTK XML Parser> Loading file <mesh/P1/N032/mesh-complete.mesh.vtu>
 Checking IEN array structure for mesh <msh>
 Number of available faces: 7
 <VTK XML Parser> Loading file <mesh/P1/N032/mesh-surfaces/X0.vtp>
 <VTK XML Parser> Loading file <mesh/P1/N032/mesh-surfaces/X1.vtp>
 <VTK XML Parser> Loading file <mesh/P1/N032/mesh-surfaces/Y0.vtp>
 <VTK XML Parser> Loading file <mesh/P1/N032/mesh-surfaces/Y1.vtp>
 <VTK XML Parser> Loading file <mesh/P1/N032/mesh-surfaces/Z0.vtp>
 <VTK XML Parser> Loading file <mesh/P1/N032/mesh-surfaces/Z1.vtp>
 <VTK XML Parser> Loading file <mesh/P1/N032/mesh-surfaces/Z1_patch.vtp>
 Number of nodes: 35937
 Number of elements: 196608
 Mesh data imported successfully
 Domain size X: 0.000000 1.000E-3
 Domain size Y: 0.000000 1.000E-3
 Domain size Z: 0.000000 1.000E-3
 Number of equations: 1
 Using preconditioner: fsils
 Number of imposed BC for equation <struct>: 6
 Configuration is completed successfully
 ParMETIS partitioned the mesh by cutting 10036 elements
 Constructing stiffness matrix sparse structure
 Total number of non-zeros in the LHS matrix: 549893
 Initializing state variables to zero
 Eq. <ST>
    Volume of domain <-1> is 1.000E-9
 Area of face <X0> is 1.000E-6
 Area of face <X1> is 1.000E-6
 Area of face <Y0> is 1.000E-6
 Area of face <Y1> is 1.000E-6
 Area of face <Z0> is 1.000E-6
 Area of face <Z1> is 7.500E-7
 Area of face <patch> is 2.500E-7

---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 New time step size: 1.000E-2
 ST    26-2  3.13E2  [ -84 6.04E-5 1.30E-5 1.76E-3]  !1000    1  90!
 ST    26-3  3.14E2  [-139 1.06E-7 2.30E-8 1.53E-1]  [ 338   -3  75]
 ST    27-1  3.19E2  [   0 1.00000 2.12E-1 8.01E-5]  !1000    0  90!
 ST    27-2  3.23E2  [ -80 9.80E-5 2.08E-5 1.37E-2]  !1000    5  90!
 ST    27-3  3.27E2  [-117 1.35E-6 2.87E-7 1.25E-2]  [ 782   -1  87]
 ST    28-1  3.31E2  [   0 1.00000 2.09E-1 5.18E-5]  !1000   -8  90!
 ST    28-2  3.35E2  [ -82 7.50E-5 1.57E-5 8.05E-3]  !1000    0  90!
 ST    28-3  3.38E2  [-124 6.04E-7 1.26E-7 2.85E-2]  [ 611    0  84]
 ST    29-1  3.42E2  [   0 1.00000 2.06E-1 2.16E-5]  !1000    0  90!
 ST    29-2  3.47E2  [ -84 5.63E-5 1.16E-5 1.03E-3]  !1000    0  90!
 ST    29-3  3.48E2  [-144 5.80E-8 1.20E-8 3.04E-1]  [ 277    0  71]
 ST    30-1  3.53E2  [   0 1.00000 2.03E-1 2.29E-5]  !1000    0  90!
 ST    30-2  3.57E2  [ -85 5.53E-5 1.12E-5 1.06E-3]  !1000    0  90!
 ST    30-3  3.58E2  [-144 5.90E-8 1.20E-8 3.00E-1]  [ 258    0  69]
 ST    31-1  3.63E2  [   0 1.00000 2.00E-1 1.36E-4]  !1000   -1  90!
 ST    31-2  3.67E2  [ -76 1.45E-4 2.90E-5 8.99E-3]  !1000    0  90!
 ST    31-3  3.70E2  [-117 1.30E-6 2.61E-7 1.23E-2]  [ 734   -3  87]
 ST    32-1  3.75E2  [   0 1.00000 1.97E-1 2.23E-5]  !1000    1  90!
 ST    32-2  3.79E2  [ -85 5.23E-5 1.03E-5 3.34E-3]  !1000   -3  90!
 ST    32-3  3.81E2  [-135 1.74E-7 3.44E-8 1.02E-1]  [ 386  -15  77]
 ST    33-1  3.85E2  [   0 1.00000 1.93E-1 1.49E-5]  !1000    0  90!
 ST    33-2  3.90E2  [ -86 4.82E-5 9.35E-6 4.34E-3]  !1000    0  90!
 ST    33-3  3.92E2  [-133 2.09E-7 4.06E-8 8.72E-2]  [ 412    0  79]
 ST    34-1  3.96E2  [   0 1.00000 1.90E-1 5.63E-5]  !1000    0  90!
 ST    34-2  4.00E2  [ -82 7.18E-5 1.36E-5 1.10E-2]  !1000    0  90!
 ST    34-3  4.03E2  [-122 7.91E-7 1.50E-7 2.29E-2]  [ 564   -7  83]
 ST    35-1  4.07E2  [   0 1.00000 1.87E-1 6.53E-6]  !1000    0  90!
 ST    35-2  4.12E2  [ -87 4.40E-5 8.25E-6 4.95E-3]  !1000    0  90!
 ST    35-3  4.13E2  [-133 2.18E-7 4.08E-8 8.15E-2]  [ 333   -1  74]
 ST    36-1  4.18E2  [   0 1.00000 1.83E-1 8.23E-6]  !1000    0  90!
 ST    36-2  4.22E2  [ -87 4.31E-5 7.94E-6 3.45E-4]  [ 976  -23  90]
 ST    36-3  4.22E2  [-156 1.49E-8 2.74E-9 1.00000]  [   0    0   0]
 ST    37-1  4.27E2  [   0 1.00000 1.80E-1 1.46E-5]  !1000    0  90!
 ST    37-2  4.31E2  [ -87 4.37E-5 7.89E-6 2.23E-3]  !1000  -12  90!
 ST    37-3  4.33E2  [-140 9.79E-8 1.76E-8 2.03E-1]  [ 310   -1  74]
 ST    38-1  4.37E2  [   0 1.00000 1.77E-1 1.81E-5]  !1000    0  90!
 ST    38-2  4.41E2  [ -87 4.40E-5 7.81E-6 1.89E-3]  !1000    0  90!
 ST    38-3  4.43E2  [-141 8.36E-8 1.48E-8 2.44E-1]  [ 193    0  63]
 ST    39-1  4.47E2  [   0 1.00000 1.74E-1 1.85E-5]  !1000    0  90!
 ST    39-2  4.51E2  [ -87 4.33E-5 7.55E-6 2.18E-2]  !1000    0  90!
 ST    39-3  4.54E2  [-120 9.46E-7 1.64E-7 1.95E-2]  [ 653   -4  85]
 ST    40-1  4.59E2  [   0 1.00000 1.70E-1 4.78E-5]  !1000   -8  90!
 ST    40-2  4.63E2  [ -84 6.07E-5 1.03E-5 8.32E-3]  !1000    0  90!
 ST    40-3  4.65E2  [-125 5.05E-7 8.63E-8 4.05E-2]  [ 494   -1  81]
 ST    41-1  4.70E2  [   0 1.00000 1.67E-1 3.07E-5]  !1000    0  90!
 ST    41-2  4.74E2  [ -86 4.81E-5 8.07E-6 4.29E-3]  !1000    0  90!
 ST    41-3  4.76E2  [-133 2.06E-7 3.46E-8 1.05E-1]  [ 377   -1  77]
 ST    42-1  4.80E2  [   0 1.00000 1.64E-1 3.55E-5]  !1000    0  90!
 ST    42-2  4.85E2  [ -85 5.06E-5 8.31E-6 2.29E-3]  !1000   -1  90!
 ST    42-3  4.86E2  [-138 1.16E-7 1.90E-8 1.87E-1]  [ 241   -1  68]
 ST    43-1  4.90E2  [   0 1.00000 1.61E-1 4.30E-5]  !1000    0  90!
 ST    43-2  4.95E2  [ -85 5.53E-5 8.92E-6 2.18E-3]  !1000    0  90!
 ST    43-3  4.96E2  [-138 1.20E-7 1.94E-8 1.74E-1]  [ 327   -3  74]
 ST    44-1  5.01E2  [   0 1.00000 1.58E-1 5.51E-5]  !1000    0  90!
 ST    44-2  5.05E2  [ -83 6.45E-5 1.01E-5 3.95E-3]  !1000   -6  90!
 ST    44-3  5.07E2  [-131 2.54E-7 4.02E-8 9.07E-2]  [ 377    0  77]
 ST    45-1  5.11E2  [   0 1.00000 1.54E-1 6.09E-5]  !1000    0  90!
 ST    45-2  5.15E2  [ -83 6.90E-5 1.07E-5 1.10E-2]  !1000    0  90!
 ST    45-3  5.18E2  [-122 7.59E-7 1.17E-7 2.23E-2]  [ 541   -5  83]
 ST    46-1  5.22E2  [   0 1.00000 1.51E-1 8.44E-5]  !1000   -1  90!
 ST    46-2  5.27E2  [ -80 8.96E-5 1.36E-5 2.54E-3]  !1000    0  90!
 ST    46-3  5.28E2  [-132 2.28E-7 3.46E-8 1.02E-1]  [ 334  -10  75]
 ST    47-1  5.33E2  [   0 1.00000 1.48E-1 6.05E-5]  !1000   -1  90!
 ST    47-2  5.37E2  [ -83 6.81E-5 1.01E-5 9.55E-3]  !1000    0  90!
 ST    47-3  5.40E2  [-123 6.51E-7 9.68E-8 3.76E-2]  [ 584    0  84]
 ST    48-1  5.44E2  [   0 1.00000 1.45E-1 5.15E-5]  !1000    0  90!
 ST    48-2  5.48E2  [ -84 6.02E-5 8.77E-6 7.78E-3]  !1000    0  90!
 ST    48-3  5.51E2  [-126 4.69E-7 6.83E-8 5.34E-2]  [ 461    0  80]
 ST    49-1  5.55E2  [   0 1.00000 1.42E-1 5.15E-5]  !1000    0  90!
 ST    49-2  5.59E2  [ -84 5.99E-5 8.55E-6 5.41E-3]  !1000    0  90!
 ST    49-3  5.61E2  [-129 3.24E-7 4.63E-8 7.29E-2]  [ 392   -3  78]
 ST    50-1  5.66E2  [   0 1.00000 1.39E-1 6.24E-5]  !1000    0  90!
 ST    50-2  5.70E2  [ -83 6.88E-5 9.62E-6 3.40E-3]  !1000    0  90!
 ST    50-3  5.72E2  [-132 2.34E-7 3.27E-8 1.05E-1]  [ 414   -1  78]
 ST    51-1  5.76E2  [   0 1.00000 1.36E-1 6.01E-5]  !1000   -5  90!
 ST    51-2  5.81E2  [ -83 6.67E-5 9.13E-6 1.39E-3]  !1000    0  90!
 ST    51-3  5.81E2  [-140 9.33E-8 1.27E-8 2.26E-1]  [  82   -5  42]
 ST    52-1  5.86E2  [   0 1.00000 1.34E-1 6.20E-5]  !1000    0  90!
 ST    52-2  5.90E2  [ -83 6.82E-5 9.14E-6 3.95E-3]  !1000    0  90!
 ST    52-3  5.91E2  [-131 2.69E-7 3.61E-8 1.00E-1]  [ 173    0  60]
 ST    53-1  5.95E2  [   0 1.00000 1.31E-1 8.60E-5]  !1000    0  90!
 ST    53-2  6.00E2  [ -80 8.97E-5 1.17E-5 4.61E-3]  !1000    0  90!
 ST    53-3  6.02E2  [-127 4.14E-7 5.43E-8 6.37E-2]  [ 441   -1  79]
 ST    54-1  6.06E2  [   0 1.00000 1.28E-1 8.91E-5]  !1000    0  90!
 ST    54-2  6.11E2  [ -80 9.23E-5 1.18E-5 8.46E-3]  !1000  -19  90!
 ST    54-3  6.13E2  [-122 7.81E-7 1.00E-7 3.48E-2]  [ 424   -1  79]
 ST    55-1  6.17E2  [   0 1.00000 1.25E-1 5.18E-5]  !1000    0  90!
 ST    55-2  6.21E2  [ -84 5.85E-5 7.35E-6 4.04E-4]  [ 997   -5  90]
 ST    55-3  6.22E2  [-152 2.36E-8 2.97E-9 1.00000]  [   0    0   0]
 ST    56-1  6.26E2  [   0 1.00000 1.22E-1 9.79E-5]  !1000    0  90!
 ST    56-2  6.30E2  [ -79 1.00E-4 1.23E-5 3.53E-3]  !1000    0  90!
 ST    56-3  6.32E2  [-129 3.54E-7 4.35E-8 8.38E-2]  [ 394    0  78]
 ST    57-1  6.37E2  [   0 1.00000 1.20E-1 1.97E-4]  !1000    0  90!
 ST    57-2  6.41E2  [ -74 1.97E-4 2.37E-5 1.96E-3]  !1000    1  90!
 ST    57-3  6.43E2  [-128 3.88E-7 4.67E-8 7.73E-2]  [ 371    0  77]
 ST    58-1  6.47E2  [   0 1.00000 1.17E-1 1.15E-4]  !1000    0  90!
