
 ----------------------------------------------

    SimVascular Fluid-Structure Interaction
                   (svFSI)

 ----------------------------------------------

 This program comes with ABSOLUTELY NO WARRANTY
 Compiled on 06-24-2020

 Running sequentially
 Number of meshes: 1
 Reading mesh <msh>
 <VTK XML Parser> Loading file <../mesh/N004/mesh-complete.mesh.vtu>
 Checking IEN array structure for mesh <msh>
 Number of available faces: 4
 <VTK XML Parser> Loading file <../mesh/N004/mesh-surfaces/bottom.vtp>
 <VTK XML Parser> Loading file <../mesh/N004/mesh-surfaces/top.vtp>
 <VTK XML Parser> Loading file <../mesh/N004/mesh-surfaces/left.vtp>
 <VTK XML Parser> Loading file <../mesh/N004/mesh-surfaces/right.vtp>
 Number of nodes: 25
 Number of elements: 32
 Mesh data imported successfully
 Domain size X: 0.000000 1.000000
 Domain size Y: 0.000000 1.000000
 Number of equations: 1
 Using preconditioner: svfsi
 Number of imposed BC for equation <stokes>: 3
 Configuration is completed successfully
 Constructing stiffness matrix sparse structure
 Total number of non-zeros in the LHS matrix: 137
 Initializing state variables to zero
 Eq. <SS>
    Volume of domain <-1> is 9.999E-1
 Area of face <bottom> is 1.000000
 Area of face <top> is 1.000000
 Area of face <left> is 1.000000
 Area of face <right> is 1.000000

---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 New time step size: 2.000E-3
 SS    43-2  1.3E-2  [-248 3.8E-13 3.2E-16 1.00000]  !   0    0  98!
 SS    44-1  1.3E-2  [   0 1.00000 7.35E-4 7.6E-10]  [  49 -210   0]
 SS    44-2  1.3E-2  [-160 9.76E-9 7.1E-12 2.40E-2]  [  20  -37   0]
 SS    45-1  1.3E-2  [   0 1.00000 6.54E-4 4.6E-13]  [  53 -108   0]
 SS    45-2  1.4E-2  [-246 4.9E-13 3.2E-16 1.00000]  !   0    0   0!
 SS    46-1  1.4E-2  [   0 1.00000 5.81E-4 7.4E-10]  [  49 -210   0]
 SS    46-2  1.4E-2  [-162 7.84E-9 4.5E-12 4.67E-2]  [  16  -31   0]
 SS    47-1  1.4E-2  [   0 1.00000 5.17E-4 1.0E-12]  [  53  -95   0]
 SS    47-2  1.4E-2  [-239 1.1E-12 5.7E-16 1.00000]  !   0    0 -98!
 SS    48-1  1.4E-2  [   0 1.00000 4.59E-4 8.3E-10]  [  46 -209   0]
 SS    48-2  1.5E-2  [-171 2.77E-9 1.2E-12 1.78E-1]  [  12  -17   0]
 SS    49-1  1.5E-2  [   0 1.00000 4.09E-4 1.2E-12]  [  53 -101   0]
 SS    49-2  1.5E-2  [-236 1.4E-12 5.8E-16 1.00000]  !   0    0 -98!
 SS    50-1  1.5E-2  [   0 1.00000 3.63E-4 1.0E-12]  [  53  -98   0]
 SS    50-2  1.5E-2  [-238 1.2E-12 4.5E-16 1.00000]  !   0    0 -98!
 SS    51-1  1.5E-2  [   0 1.00000 3.23E-4 7.7E-10]  [  49 -210   0]
 SS    51-2  1.5E-2  [-159 1.03E-8 3.3E-12 6.75E-2]  [  17  -27   0]
 SS    52-1  1.6E-2  [   0 1.00000 2.88E-4 8.3E-13]  [  53 -101   0]
