
 ----------------------------------------------

    SimVascular Fluid-Structure Interaction
                   (svFSI)

 ----------------------------------------------

 This program comes with ABSOLUTELY NO WARRANTY
 Compiled on 06-24-2020

 Running sequentially
 Number of meshes: 1
 Reading mesh <msh>
 <VTK XML Parser> Loading file <../mesh/N004/mesh-complete.mesh.vtu>
 Checking IEN array structure for mesh <msh>
 Number of available faces: 4
 <VTK XML Parser> Loading file <../mesh/N004/mesh-surfaces/bottom.vtp>
 <VTK XML Parser> Loading file <../mesh/N004/mesh-surfaces/top.vtp>
 <VTK XML Parser> Loading file <../mesh/N004/mesh-surfaces/left.vtp>
 <VTK XML Parser> Loading file <../mesh/N004/mesh-surfaces/right.vtp>
 Number of nodes: 81
 Number of elements: 32
 Mesh data imported successfully
 Domain size X: 0.000000 1.000000
 Domain size Y: 0.000000 1.000000
 Number of equations: 1
 Using preconditioner: trilinos-diagonal
 Number of imposed BC for equation <stokes>: 3
 Configuration is completed successfully
 Constructing stiffness matrix sparse structure
 Total number of non-zeros in the LHS matrix: 801
 Initializing state variables to zero
 Eq. <SS>
    Volume of domain <-1> is 9.999E-1
 Area of face <bottom> is 1.000000
 Area of face <top> is 1.000000
 Area of face <left> is 1.000000
 Area of face <right> is 1.000000

---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 New time step size: 1.000E-2
 SS    22-1  5.4E-1  [   0 1.00000 4.38E-5 3.59E-5]  [1000 -102  87]
 SS    22-2  5.5E-1  [ -88 3.59E-5 1.57E-9 1.45E-2]  [1000  -42  97]
 SS    22-3  5.5E-1  [-125 5.23E-7 2.2E-11 8.49E-3]  [1000  -48 100]
 SS    22-4  5.6E-1  [-167 4.44E-9 1.9E-13 3.68E-2]  [1000  -33  83]
 SS    23-1  5.7E-1  [   0 1.00000 2.38E-5 2.68E-5]  [1000 -105  97]
 SS    23-2  5.7E-1  [ -91 2.68E-5 6.4E-10 3.63E-3]  [1000  -56 100]
 SS    23-3  5.8E-1  [-140 9.73E-8 2.3E-12 7.61E-3]  [1000  -49  96]
 SS    23-4  5.9E-1  [-182 7.4E-10 1.7E-14 6.82E-3]  [1000  -50  95]
 SS    24-1  5.9E-1  [   0 1.00000 1.30E-5 2.84E-5]  [1000 -105  83]
 SS    24-2  6.0E-1  [ -90 2.84E-5 3.7E-10 2.10E-2]  [1000  -39  97]
 SS    24-3  6.0E-1  [-124 6.00E-7 7.8E-12 1.03E-2]  [1000  -46  98]
 SS    24-4  6.1E-1  [-164 6.18E-9 8.0E-14 7.51E-3]  [1000  -49  99]
 SS    25-1  6.2E-1  [   0 1.00000 7.04E-6 3.76E-5]  [1000 -102  82]
 SS    25-2  6.2E-1  [ -88 3.76E-5 2.6E-10 2.32E-2]  [1000  -38  99]
 SS    25-3  6.3E-1  [-121 8.74E-7 6.1E-12 7.58E-4]  [1000  -72  96]
 SS    25-4  6.3E-1  [-183 6.6E-10 4.6E-15 3.54E-3]  [1000  -56  98]
 SS    26-1  6.4E-1  [   0 1.00000 3.81E-6 3.40E-5]  [1000 -103  86]
 SS    26-2  6.5E-1  [ -89 3.40E-5 1.2E-10 1.68E-3]  [1000  -64  96]
 SS    26-3  6.5E-1  [-144 5.73E-8 2.1E-13 5.31E-3]  [1000  -52 100]
 SS    26-4  6.6E-1  [-189 3.2E-10 1.2E-15 1.83E-2]  [1000  -40  98]
 SS    27-1  6.7E-1  [   0 1.00000 2.05E-6 2.80E-4]  [1000  -82  82]
 SS    27-2  6.7E-1  [ -71 2.80E-4 5.7E-10 2.79E-3]  [1000  -59  98]
 SS    27-3  6.8E-1  [-122 7.84E-7 1.6E-12 3.38E-3]  [1000  -57  97]
 SS    27-4  6.8E-1  [-171 2.66E-9 5.4E-15 8.13E-3]  [1000  -48  96]
 SS    28-1  6.9E-1  [   0 1.00000 1.10E-6 4.75E-6]  [1000 -123  97]
 SS    28-2  7.0E-1  [-106 4.75E-6 5.2E-12 2.23E-3]  [1000  -61  83]
 SS    28-3  7.0E-1  [-159 1.06E-8 1.1E-14 2.47E-3]  [1000  -60  97]
 SS    28-4  7.1E-1  [-190 2.8E-10 3.1E-16 1.56E-3]  [1000  -65  97]
 SS    29-1  7.2E-1  [   0 1.00000 5.93E-7 3.50E-5]  [1000 -103  95]
 SS    29-2  7.2E-1  [ -89 3.50E-5 2.0E-11 2.56E-2]  [1000  -37  96]
 SS    29-3  7.3E-1  [-120 8.97E-7 5.3E-13 6.07E-3]  [1000  -51  97]
 SS    29-4  7.3E-1  [-165 5.48E-9 3.2E-15 3.09E-2]  [1000  -35  84]
 SS    30-1  7.4E-1  [   0 1.00000 3.19E-7 2.22E-5]  [1000 -107  99]
 SS    30-2  7.5E-1  [ -93 2.22E-5 7.1E-12 7.15E-3]  [1000  -49  96]
 SS    30-3  7.5E-1  [-135 1.58E-7 5.0E-14 6.18E-3]  [1000  -51  98]
 SS    30-4  7.6E-1  [-175 1.63E-9 5.2E-16 7.87E-4]  [1000  -71  85]
 SS    31-1  7.7E-1  [   0 1.00000 1.71E-7 2.89E-5]  [1000 -105  97]
