
 ----------------------------------------------

    SimVascular Fluid-Structure Interaction
                   (svFSI)

 ----------------------------------------------

 This program comes with ABSOLUTELY NO WARRANTY
 Compiled on 01-05-2021

 Running in parallel with 12 tasks
 Number of meshes: 1
 Reading mesh <msh>
 <VTK XML Parser> Loading file <mesh/P2/coarse/mesh-complete.mesh.vtu>
 Checking IEN array structure for mesh <msh>
 Number of available faces: 3
 <VTK XML Parser> Loading file <mesh/P2/coarse/mesh-surfaces/endo.vtp>
 <VTK XML Parser> Loading file <mesh/P2/coarse/mesh-surfaces/epi.vtp>
 <VTK XML Parser> Loading file <mesh/P2/coarse/mesh-surfaces/base.vtp>
 Number of nodes: 60336
 Number of elements: 41399
 Mesh data imported successfully
 Domain size X: -1.000E1 1.0000E1
 Domain size Y: -1.000E1 1.0000E1
 Domain size Z: -1.991E1 5.000000
 Number of equations: 1
 Using linear solver: BiCGStab
 Using preconditioner: FSILS
 Number of imposed BC for equation <struct>: 2
 Configuration is completed successfully
 ParMETIS partitioned the mesh by cutting 2264 elements
 Constructing stiffness matrix sparse structure
 Total number of non-zeros in the LHS matrix: 1705633
 Initializing state variables to zero
 Eq. <ST>
    Volume of domain <-1> is 2.9633E3
    Area of face <endo> is 7.8654E2
    Area of face <epi> is 1.3024E3
    Area of face <base> is 1.5956E2

---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 New time step size: 1.000E-2
 ST    12-3  7.62E2  [ -95 1.74E-5 9.36E-5 3.92E-2]  !1000    0  88!
 ST    12-4s 7.75E2  [-123 6.89E-7 3.70E-6 2.99E-1]  !1000    0  88!
 ST    13-1  7.90E2  [   0 1.00000 5.39677 1.08E-4]  !1000    0  72!
 ST    13-2  8.03E2  [ -55 1.73E-3 9.38E-3 9.83E-3]  !1000    0  88!
 ST    13-3  8.15E2  [ -92 2.25E-5 1.21E-4 5.79E-2]  !1000    0  88!
 ST    13-4  8.28E2  [-117 1.31E-6 7.08E-6 1.51E-1]  !1000    0  88!
 ST    13-5s 8.40E2  [-134 1.99E-7 1.07E-6 1.55E-1]  !1000    0  88!
 ST    14-1  8.56E2  [   0 1.00000 4.97867 2.95E-5]  !1000    0  72!
 ST    14-2  8.68E2  [ -70 3.07E-4 1.53E-3 1.49E-2]  !1000    0  88!
 ST    14-3  8.81E2  [-105 5.12E-6 2.55E-5 7.00E-2]  !1000    0  88!
 ST    14-4s 8.93E2  [-128 3.59E-7 1.78E-6 6.84E-2]  !1000    0  88!
 ST    15-1  9.09E2  [   0 1.00000 5.42668 3.47E-5]  !1000    0  72!
 ST    15-2  9.21E2  [ -65 5.22E-4 2.83E-3 1.25E-2]  !1000    0  88!
 ST    15-3  9.34E2  [-103 6.79E-6 3.68E-5 6.03E-2]  !1000    3  88!
 ST    15-4s 9.46E2  [-127 4.10E-7 2.22E-6 2.39E-1]  !1000    0  88!
 ST    16-1  9.62E2  [   0 1.00000 4.82462 2.98E-5]  !1000   -2  72!
 ST    16-2  9.74E2  [ -58 1.16E-3 5.60E-3 6.34E-3]  !1000    1  88!
 ST    16-3  9.87E2  [-102 7.60E-6 3.66E-5 8.70E-2]  !1000    0  88!
 ST    16-4s 9.99E2  [-123 6.61E-7 3.19E-6 1.77E-1]  !1000    0  88!
 ST    17-1  1.01E3  [   0 1.00000 4.57373 3.16E-5]  !1000    0  72!
 ST    17-2  1.02E3  [ -66 5.00E-4 2.28E-3 4.26E-3]  !1000    0  88!
 ST    17-3  1.04E3  [-113 2.23E-6 1.02E-5 1.60E-1]  !1000    0  88!
 ST    17-4s 1.05E3  [-128 3.59E-7 1.64E-6 1.78E-1]  !1000    0  88!
 ST    18-1  1.06E3  [   0 1.00000 4.46226 6.26E-5]  !1000    0  72!
 ST    18-2  1.08E3  [ -58 1.20E-3 5.39E-3 3.52E-3]  !1000    0  88!
 ST    18-3  1.09E3  [-106 4.73E-6 2.11E-5 1.17E-1]  !1000    0  88!
 ST    18-4s 1.10E3  [-125 5.58E-7 2.49E-6 2.24E-1]  !1000    0  88!
 ST    19-1  1.12E3  [   0 1.00000 3.86108 1.11E-4]  !1000    0  72!
 ST    19-2  1.13E3  [ -59 1.04E-3 4.05E-3 9.36E-3]  !1000    0  88!
 ST    19-3  1.14E3  [ -99 1.05E-5 4.07E-5 1.20E-1]  !1000    0  88!
 ST    19-4  1.15E3  [-117 1.27E-6 4.90E-6 1.98E-1]  !1000    0  88!
 ST    19-5s 1.17E3  [-131 2.51E-7 9.72E-7 9.11E-2]  !1000    0  88!
 ST    20-1  1.18E3  [   0 1.00000 3.67453 6.59E-5]  !1000    0  72!
 ST    20-2  1.19E3  [ -61 8.83E-4 3.24E-3 5.31E-3]  !1000    0  88!
 ST    20-3  1.21E3  [-106 4.78E-6 1.75E-5 1.84E-1]  !1000    7  88!
 ST    20-4s 1.22E3  [-121 8.85E-7 3.25E-6 1.00E-1]  !1000    0  88!
 ST    21-1  1.24E3  [   0 1.00000 3.35488 1.26E-4]  !1000    0  72!
 ST    21-2  1.25E3  [ -58 1.21E-3 4.08E-3 4.87E-3]  !1000    0  88!
 ST    21-3  1.26E3  [-103 6.40E-6 2.14E-5 8.65E-2]  !1000    0  88!
 ST    21-4s 1.27E3  [-125 5.54E-7 1.85E-6 2.07E-1]  !1000    0  88!
 ST    22-1  1.29E3  [   0 1.00000 2.99605 1.40E-4]  !1000    0  72!
 ST    22-2  1.30E3  [ -59 1.00E-3 3.00E-3 1.52E-2]  !1000    0  88!
 ST    22-3  1.31E3  [ -96 1.55E-5 4.66E-5 5.82E-2]  !1000    0  88!
 ST    22-4s 1.33E3  [-120 9.07E-7 2.71E-6 2.79E-1]  !1000    0  88!
 ST    23-1  1.34E3  [   0 1.00000 2.78468 1.12E-4]  !1000    0  72!
 ST    23-2  1.35E3  [ -60 9.83E-4 2.73E-3 1.81E-2]  !1000    0  88!
 ST    23-3  1.37E3  [ -94 1.79E-5 4.98E-5 5.88E-2]  !1000    0  88!
 ST    23-4  1.38E3  [-119 1.05E-6 2.93E-6 2.73E-1]  !1000    0  88!
